,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
207,Andre Drummond,PHI,C,13,21.6,8.5,8.9,0.5,1.4,0.5,0.1,51.1,51.3,1.8,0.4,20.0,3.5,6.8,1.5,3.0,0.2,0.0,2.8,23.6
T208,Trayce Jackson-Davis,GSW,C,14,17.3,8.4,5.1,2.4,0.4,0.6,0.0,66.7,58.3,0.9,0.0,0.0,3.7,5.6,1.0,1.7,0.1,0.0,1.4,20.0
T208,Jaylen Nowell,FA,G,8,21.0,8.4,2.5,2.3,0.1,0.4,1.0,35.6,63.6,1.0,3.4,29.6,3.3,9.1,0.9,1.4,0.0,0.0,1.1,15.3
T208,Davion Mitchell,TOR,G,15,29.2,8.4,2.7,5.9,1.0,0.3,1.0,42.6,72.2,2.1,3.4,29.4,3.3,7.7,0.9,1.2,0.1,0.0,2.9,22.1
T211,Wendell Carter,ORL,C,6,26.3,8.3,8.8,2.2,1.3,0.3,0.3,44.7,77.8,0.5,2.7,12.5,2.8,6.3,2.3,3.0,0.2,0.0,2.3,26.7
T211,Taurean Prince,MIL,F,15,29.7,8.3,5.1,2.1,1.0,0.1,1.9,46.9,100.0,1.2,3.9,50.0,3.1,6.5,0.2,0.2,0.1,0.0,2.1,19.5
T211,Nikola Jovic,MIA,F,13,19.1,8.3,3.9,1.3,1.0,0.1,1.1,45.3,80.0,0.6,3.3,32.6,3.0,6.6,1.2,1.5,0.0,0.0,1.5,17.6
T211,Kevin Porter,LAC,G,16,17.3,8.3,3.1,2.9,0.7,0.3,0.5,41.7,58.3,2.3,2.3,22.2,3.4,8.3,0.9,1.5,0.0,0.0,1.3,16.9
T215,Cameron Payne,NYK,G,11,17.1,8.2,1.7,3.4,0.7,0.2,1.8,44.2,50.0,0.6,4.1,44.4,3.1,7.0,0.2,0.4,0.0,0.0,2.1,17.4
T215,Malaki Branham,SAS,G,13,14.7,8.2,1.7,1.3,0.4,0.2,1.2,48.7,83.3,1.4,2.5,46.9,2.9,6.0,1.2,1.4,0.0,0.0,0.5,12.4
217,Goga Bitadze,ORL,C,12,20.7,8.0,6.4,1.6,0.5,1.3,0.0,68.9,75.0,1.3,0.5,0.0,3.5,5.1,1.0,1.3,0.3,0.0,2.3,22.2
T218,Larry Nance,ATL,C,9,15.7,7.9,2.4,1.2,0.8,0.3,1.6,65.1,50.0,0.4,2.4,63.6,3.1,4.8,0.1,0.2,0.0,0.0,1.2,15.5
T218,AJ Green,MIL,G,14,18.6,7.9,1.8,0.9,0.6,0.1,2.4,50.0,75.0,0.4,4.9,49.3,2.6,5.3,0.2,0.3,0.0,0.0,1.1,13.2
T220,Gary Trent,MIL,G,13,24.9,7.8,1.8,0.8,0.9,0.0,1.6,35.5,93.8,0.5,4.8,33.9,2.5,7.2,1.2,1.2,0.0,0.0,2.4,13.5
T220,Kris Dunn,LAC,G,16,22.4,7.8,3.6,3.0,1.1,0.2,1.3,52.0,37.5,1.2,3.2,39.2,3.2,6.1,0.2,0.5,0.0,0.0,2.7,19.2
