Player Aggregates:
James Harden: {'Team': 12, 'Pos': 3, 'minutes': 69.6, 'points': 37.2, 'games': 94.0, 'rebounds': 12.8, 'assists': 17.3, 'ft_percentage': 87.3, 'fg_percentage': 40.1, 'three_pt_percentage': 35.05, 'points_per_minute': 0.5343467957028315, 'rebounds_per_minute': 0.1838022179467065}
Nikola Vucevic: {'Team': 4, 'Pos': 1, 'minutes': 66.69999999999999, 'points': 38.400000000000006, 'games': 94.0, 'rebounds': 20.2, 'assists': 6.5, 'ft_percentage': 83.25, 'fg_percentage': 53.25, 'three_pt_percentage': 37.9, 'points_per_minute': 0.5773228814169487, 'rebounds_per_minute': 0.3026765785873713}
Domantas Sabonis: {'Team': 26, 'Pos': 1, 'minutes': 72.4, 'points': 39.599999999999994, 'games': 97.0, 'rebounds': 26.1, 'assists': 14.799999999999999, 'ft_percentage': 77.80000000000001, 'fg_percentage': 61.699999999999996, 'three_pt_percentage': 38.55, 'points_per_minute': 0.5469060048233965, 'rebounds_per_minute': 0.3607091614006167}
Joel Embiid: {'Team': 23, 'Pos': 1, 'minutes': 66.0, 'points': 54.0, 'games': 50.0, 'rebounds': 18.6, 'assists': 9.1, 'ft_percentage': 94.0, 'fg_percentage': 44.65, 'three_pt_percentage': 27.299999999999997, 'points_per_minute': 0.8090893187614514, 'rebounds_per_minute': 0.2797506698216571}
Coby White: {'Team': 4, 'Pos': 3, 'minutes': 69.3, 'points': 38.8, 'games': 97.0, 'rebounds': 7.8999999999999995, 'assists': 9.7, 'ft_percentage': 86.35, 'fg_percentage': 45.0, 'three_pt_percentage': 38.35, 'points_per_minute': 0.5616396592048113, 'rebounds_per_minute': 0.11331857667891747}
Jalen Green: {'Team': 10, 'Pos': 3, 'minutes': 64.1, 'points': 39.0, 'games': 98.0, 'rebounds': 10.100000000000001, 'assists': 6.4, 'ft_percentage': 82.80000000000001, 'fg_percentage': 40.8, 'three_pt_percentage': 32.650000000000006, 'points_per_minute': 0.6085309810336099, 'rebounds_per_minute': 0.15763621139541223}
Scottie Barnes: {'Team': 28, 'Pos': 2, 'minutes': 68.4, 'points': 39.2, 'games': 64.0, 'rebounds': 16.0, 'assists': 12.1, 'ft_percentage': 76.0, 'fg_percentage': 46.75, 'three_pt_percentage': 26.15, 'points_per_minute': 0.5731599880254886, 'rebounds_per_minute': 0.23389642047641448}
Jalen Johnson: {'Team': 1, 'Pos': 2, 'minutes': 70.2, 'points': 35.1, 'games': 71.0, 'rebounds': 19.0, 'assists': 8.9, 'ft_percentage': 72.85, 'fg_percentage': 48.95, 'three_pt_percentage': 34.4, 'points_per_minute': 0.4990325596520467, 'rebounds_per_minute': 0.2701760091053209}
Derrick White: {'Team': 2, 'Pos': 3, 'minutes': 68.0, 'points': 34.4, 'games': 107.0, 'rebounds': 8.899999999999999, 'assists': 9.2, 'ft_percentage': 88.3, 'fg_percentage': 46.4, 'three_pt_percentage': 40.55, 'points_per_minute': 0.5049854590776901, 'rebounds_per_minute': 0.1308509901675668}
Bennedict Mathurin: {'Team': 11, 'Pos': 3, 'minutes': 57.0, 'points': 33.3, 'games': 74.0, 'rebounds': 10.6, 'assists': 3.6, 'ft_percentage': 82.1, 'fg_percentage': 48.7, 'three_pt_percentage': 42.4, 'points_per_minute': 0.5819848975188782, 'rebounds_per_minute': 0.1834244689952758}
