,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T277,Chimezie Metu,FA,C,51,16.8,6.5,3.8,0.9,0.8,0.3,0.5,50.4,90.6,1.0,1.8,29.8,2.4,4.8,1.1,1.3,0.0,0.0,1.4,14.9
T281,Chris Boucher,TOR,F,50,14.1,6.4,4.1,0.5,0.3,0.5,0.6,50.7,77.2,0.6,1.9,33.0,2.2,4.3,1.4,1.8,0.0,0.0,1.4,13.8
T281,Marcus Morris,FA,F,58,16.4,6.4,2.7,0.7,0.3,0.2,1.0,44.2,80.9,0.6,2.4,40.1,2.4,5.4,0.7,0.8,0.0,0.0,1.4,11.8
T283,Patrick Beverley,FA,G,79,21.2,6.3,3.3,3.1,0.6,0.4,0.8,41.6,82.9,0.9,2.4,33.9,2.2,5.3,1.1,1.3,0.0,0.0,1.8,17.2
T283,David Roddy,ATL,F,67,17.6,6.3,3.1,1.2,0.4,0.2,0.7,40.3,69.1,0.9,2.4,29.3,2.5,6.1,0.7,1.0,0.0,0.0,1.1,12.8
T283,Amir Coffey,LAC,F,76,20.7,6.3,2.1,1.0,0.6,0.2,1.0,46.3,85.9,0.5,2.6,37.4,2.3,4.9,0.8,0.9,0.0,0.0,1.4,12.1
T283,Jared Butler,WAS,G,40,14.1,6.3,1.5,3.2,0.7,0.2,0.6,48.8,86.1,1.3,2.0,30.8,2.5,5.0,0.8,0.9,0.0,0.0,1.5,14.3
T287,Jaylen Nowell,FA,G,13,16.3,6.2,1.8,1.5,0.3,0.2,0.5,43.6,77.8,0.5,2.2,20.7,2.6,6.0,0.5,0.7,0.0,0.0,1.2,11.5
T287,Dante Exum,DAL,G,76,16.2,6.2,2.2,2.2,0.3,0.1,0.8,51.2,77.0,0.7,1.7,46.9,2.3,4.6,0.8,1.0,0.0,0.0,1.2,12.7
T287,Bruno Fernando,TOR,C,46,15.0,6.2,4.2,1.0,0.5,0.6,0.0,58.4,67.0,1.0,0.1,0.0,2.4,4.1,1.4,2.1,0.0,0.0,2.4,15.3
T287,Keon Johnson,BKN,G,5,12.2,6.2,1.4,0.6,0.6,0.2,0.8,38.1,91.7,1.0,2.0,40.0,1.6,4.2,2.2,2.4,0.0,0.0,1.0,10.2
T287,Daniel Theis,NOP,C,61,16.7,6.2,4.0,1.0,0.3,0.8,0.4,53.4,76.0,0.7,1.2,37.5,2.6,4.8,0.6,0.8,0.0,0.0,2.1,15.4
T292,Kris Murray,POR,F,62,21.7,6.1,3.6,1.3,0.9,0.3,0.8,39.6,66.1,0.9,3.0,26.8,2.3,5.9,0.6,0.9,0.0,0.0,1.5,15.0
T292,Haywood Highsmith,MIA,F,73,21.2,6.1,3.2,1.1,0.8,0.4,1.1,45.6,64.1,0.6,3.0,37.0,2.3,5.1,0.3,0.5,0.0,0.0,1.9,14.8
T292,Peyton Watson,DEN,F,90,17.5,6.1,3.0,1.0,0.5,1.0,0.5,45.4,66.1,0.7,1.8,29.3,2.4,5.2,0.8,1.2,0.0,0.0,1.7,15.1
T292,Kyle Anderson,GSW,F,94,21.4,6.1,3.3,3.9,0.9,0.6,0.1,45.9,71.8,1.1,0.6,23.2,2.4,5.2,1.1,1.6,0.0,0.0,1.6,19.1
T292,Vit Krejci,ATL,G,22,24.6,6.1,2.4,2.3,0.6,0.3,1.3,49.0,83.3,0.9,3.1,41.2,2.3,4.7,0.2,0.3,0.0,0.0,2.2,14.1
T292,Ben Simmons,BKN,G,15,23.9,6.1,7.9,5.7,0.8,0.6,0.0,58.1,40.0,1.8,0.0,0.0,2.9,4.9,0.4,1.0,0.2,0.0,2.4,26.7
T298,Zavier Simpson,FA,G,7,23.1,6.0,2.9,3.6,1.0,0.4,0.7,31.5,75.0,1.4,2.4,29.4,2.4,7.7,0.4,0.6,0.0,0.0,1.6,17.6
T298,Isaiah Jackson,IND,C,73,12.6,6.0,3.9,0.8,0.5,1.0,0.0,64.5,70.0,0.6,0.1,0.0,2.4,3.8,1.2,1.6,0.1,0.0,2.2,15.9
T300,Tosan Evbuomwan,FA,F,17,21.5,5.9,3.5,0.9,0.4,0.3,0.7,50.7,68.0,0.5,1.9,37.5,2.1,4.2,1.0,1.5,0.0,0.0,1.4,13.0
T300,Justin Champagnie,WAS,F,15,15.7,5.9,3.5,1.3,0.7,0.6,0.9,41.0,80.0,0.7,3.0,28.9,2.1,5.2,0.8,1.0,0.0,0.0,0.9,15.2
T300,Nick Smith,CHA,G,51,14.2,5.9,1.4,1.2,0.2,0.1,1.2,39.1,86.7,0.8,2.9,43.2,2.2,5.7,0.3,0.3,0.0,0.0,1.1,9.6
T300,Jae Crowder,FA,F,54,22.2,5.9,3.1,1.3,0.7,0.2,1.1,41.5,73.7,0.4,3.2,34.1,2.2,5.2,0.5,0.7,0.0,0.0,1.4,13.8
T300,Larry Nance,ATL,C,67,20.1,5.9,5.3,1.9,1.0,0.3,0.4,58.1,74.6,0.9,1.1,40.8,2.4,4.1,0.8,1.1,0.0,0.0,1.7,18.1
T305,Ochai Agbaji,TOR,F,78,21.0,5.8,2.8,1.1,0.6,0.6,0.8,41.1,66.1,0.8,2.7,29.4,2.3,5.6,0.5,0.7,0.0,0.0,1.5,13.4
T305,Noah Clowney,BKN,F,23,16.1,5.8,3.5,0.8,0.3,0.7,0.5,53.8,70.0,0.7,1.4,36.4,2.2,4.0,0.9,1.3,0.0,0.0,1.1,13.7
307,Thomas Bryant,MIA,C,41,11.3,5.7,3.6,0.6,0.2,0.4,0.1,58.2,86.5,0.6,0.6,16.7,2.2,3.9,1.1,1.3,0.0,0.0,1.1,12.3
T308,Craig Porter,CLE,G,51,12.8,5.6,2.1,2.3,0.4,0.3,0.2,50.9,73.2,0.9,0.7,35.3,2.3,4.5,0.8,1.1,0.0,0.0,0.8,12.9
T308,Danilo Gallinari,FA,F,52,12.9,5.6,2.3,1.1,0.3,0.1,0.6,43.9,85.3,0.5,1.8,31.6,1.7,3.8,1.7,2.0,0.0,0.0,1.0,10.6
T308,Torrey Craig,CHI,F,55,19.5,5.6,4.0,1.1,0.6,0.4,1.1,43.0,75.0,0.6,2.9,39.2,2.0,4.7,0.5,0.7,0.0,0.0,2.0,14.4
T308,Nicolas Batum,LAC,F,67,25.7,5.6,4.3,2.0,0.7,0.7,1.3,45.5,69.0,0.7,3.2,40.6,2.0,4.4,0.3,0.4,0.0,0.0,1.9,17.3
T312,Gary Payton,GSW,G,44,15.5,5.5,2.6,1.1,0.9,0.4,0.5,56.3,60.9,0.6,1.3,36.4,2.3,4.2,0.3,0.5,0.0,0.0,1.8,13.4
T312,Pat Connaughton,MIL,G,82,21.9,5.5,3.2,2.1,0.6,0.2,1.0,43.5,76.7,0.6,3.0,34.1,2.0,4.5,0.6,0.7,0.0,0.0,1.3,14.3
T312,Malachi Flynn,FA,G,69,12.7,5.5,1.7,1.9,0.6,0.1,0.8,41.8,73.2,0.9,2.4,33.1,2.0,4.7,0.8,1.0,0.0,0.0,1.0,11.4
T312,Dexter Dennis,FA,G,4,7.5,5.5,2.3,1.0,0.0,0.3,0.3,52.6,33.3,0.8,2.0,12.5,2.5,4.8,0.3,0.8,0.0,0.0,0.3,9.7
T312,Keon Ellis,SAC,G,59,17.6,5.5,2.2,1.5,0.9,0.6,1.2,45.7,75.7,0.7,3.0,41.5,1.9,4.2,0.5,0.6,0.0,0.0,2.0,14.2
T317,Cam Reddish,LAL,F,48,20.5,5.4,2.1,1.0,1.0,0.3,0.8,38.9,75.9,0.6,2.3,33.6,1.9,4.9,0.9,1.1,0.0,0.0,1.3,12.6
T317,Dyson Daniels,ATL,G,66,21.1,5.4,3.7,2.5,1.3,0.4,0.6,44.3,64.2,0.9,2.1,30.4,2.1,4.8,0.5,0.8,0.0,0.0,1.6,17.8
T317,Kris Dunn,LAC,G,66,18.9,5.4,2.9,3.8,1.0,0.4,0.6,47.0,68.8,1.2,1.7,36.9,2.2,4.7,0.3,0.5,0.0,0.0,2.0,17.8
T317,Matisse Thybulle,POR,F,65,22.9,5.4,2.1,1.4,1.7,0.8,1.2,39.7,75.9,0.6,3.6,34.6,1.9,4.9,0.3,0.4,0.0,0.0,1.4,16.9
T317,Ricky Council,PHI,F,32,9.0,5.4,1.4,0.5,0.3,0.0,0.4,48.2,74.6,0.2,1.0,37.5,1.7,3.5,1.7,2.2,0.0,0.0,0.5,8.6
T322,Seth Curry,CHA,G,43,14.3,5.3,1.6,1.0,0.5,0.1,0.9,39.2,90.3,0.5,2.5,35.2,1.9,4.7,0.7,0.7,0.0,0.0,0.9,10.2
T322,Davion Mitchell,TOR,G,74,15.4,5.3,1.4,1.9,0.2,0.0,0.8,44.6,71.4,0.6,2.3,35.5,2.1,4.6,0.4,0.6,0.0,0.0,1.2,10.0
T322,Stanley Umude,MIL,G,24,12.8,5.3,2.1,0.5,0.3,0.3,1.0,44.0,90.6,0.6,2.2,45.3,1.5,3.5,1.2,1.3,0.0,0.0,1.7,9.8
T322,Dean Wade,CLE,F,57,20.6,5.3,3.9,0.8,0.7,0.5,1.4,40.8,76.9,0.4,3.7,38.7,1.8,4.3,0.4,0.5,0.0,0.0,1.7,14.5
T322,Darius Bazley,FA,F,9,16.7,5.3,3.1,0.8,0.7,0.8,0.2,60.0,83.3,0.9,0.9,25.0,2.0,3.3,1.1,1.3,0.0,0.0,0.3,13.7
T327,Sasha Vezenkov,FA,F,44,11.9,5.2,2.3,0.4,0.5,0.2,1.0,43.4,80.0,0.3,2.8,36.6,1.9,4.5,0.3,0.3,0.0,0.0,1.0,10.1
T327,Jarred Vanderbilt,LAL,F,29,20.1,5.2,4.8,1.2,1.2,0.2,0.3,51.8,66.7,1.0,0.9,29.6,2.0,3.9,0.8,1.2,0.0,0.0,1.5,16.0
T327,Matt Ryan,NYK,F,29,13.6,5.2,1.4,0.6,0.2,0.0,1.4,43.0,92.9,0.7,3.2,44.6,1.7,3.9,0.4,0.5,0.0,0.0,1.1,8.0
T327,Aleksej Pokusevski,FA,F,28,14.6,5.2,3.2,1.3,0.5,0.5,0.6,40.5,73.2,0.7,2.0,32.7,1.8,4.3,1.1,1.5,0.0,0.0,0.8,13.2
T331,Mitchell Robinson,NYK,C,37,23.8,5.1,8.2,0.6,1.2,1.1,0.0,56.7,40.5,0.8,0.0,0.0,2.2,3.8,0.8,2.0,0.1,0.0,1.9,22.0
T331,Bryce McGowens,POR,G,59,14.9,5.1,1.7,0.9,0.4,0.2,0.6,43.9,77.6,0.5,1.7,33.3,1.7,3.9,1.1,1.4,0.0,0.0,1.3,9.6
T331,Drew Eubanks,UTA,C,78,15.4,5.1,4.2,0.8,0.4,0.8,0.0,60.0,78.1,0.8,0.0,100.0,2.0,3.4,1.0,1.2,0.0,0.0,1.6,14.0
T331,Neemias Queta,BOS,C,31,11.1,5.1,4.0,0.6,0.4,0.7,0.0,64.5,71.4,0.4,0.0,0.0,2.2,3.5,0.6,0.9,0.1,0.0,1.6,13.9
T331,Mason Plumlee,PHO,C,52,14.2,5.1,4.9,1.1,0.3,0.4,0.0,55.0,70.1,0.7,0.1,0.0,1.8,3.3,1.4,2.1,0.0,0.0,1.6,14.0
T336,Richaun Holmes,WAS,C,40,13.9,5.0,4.6,0.6,0.3,0.5,0.0,55.8,72.3,0.6,0.1,33.3,2.1,3.7,0.9,1.2,0.1,0.0,1.9,13.0
T336,Garrison Mathews,ATL,G,67,15.0,5.0,1.4,0.6,0.3,0.1,1.3,45.7,80.0,0.3,2.9,44.2,1.6,3.4,0.5,0.7,0.0,0.0,1.8,8.4
T336,Kobi Simmons,FA,G,4,16.8,5.0,1.8,3.0,1.5,0.5,0.5,42.9,0.0,0.3,2.0,25.0,2.3,5.3,0.0,0.0,0.0,0.0,1.3,17.4
T336,Isaiah Livers,FA,F,23,20.4,5.0,2.1,1.1,0.6,0.2,1.0,34.5,66.7,0.7,3.3,28.6,1.7,5.0,0.5,0.8,0.0,0.0,1.9,10.7
T336,D.J. Wilson,FA,C,2,8.0,5.0,1.0,1.0,0.0,1.0,1.0,66.7,0.0,0.0,1.0,100.0,2.0,3.0,0.0,0.0,0.0,0.0,0.5,10.7
T336,Jalen Wilson,BKN,F,43,15.5,5.0,3.0,1.0,0.3,0.1,0.6,42.5,82.6,0.4,1.7,32.4,1.8,4.2,0.9,1.1,0.0,0.0,1.1,10.8
T336,Devonte' Graham,FA,G,23,13.7,5.0,1.6,2.1,0.4,0.1,1.1,35.2,81.3,0.7,3.6,30.1,1.7,4.7,0.6,0.7,0.0,0.0,0.6,10.7
T343,Jared Rhoden,CHA,F,17,14.5,4.9,1.9,0.8,0.2,0.8,0.7,50.0,62.5,0.4,1.8,38.7,1.9,3.9,0.3,0.5,0.0,0.0,1.6,10.9
T343,Jevon Carter,CHI,G,74,13.6,4.9,0.8,1.3,0.5,0.2,1.0,38.0,57.1,0.5,3.2,32.9,1.9,4.9,0.1,0.1,0.0,0.0,1.0,9.4
T343,Goga Bitadze,ORL,C,64,15.1,4.9,4.5,1.3,0.5,1.1,0.0,59.7,65.5,0.7,0.2,14.3,2.0,3.3,0.9,1.4,0.1,0.0,1.7,16.3
T343,Bol Bol,PHO,F,46,10.5,4.9,3.1,0.4,0.2,0.5,0.5,61.0,78.9,0.4,1.1,42.3,2.0,3.3,0.3,0.4,0.0,0.0,1.0,11.1
T343,Brandon Boston,NOP,F,35,10.1,4.9,1.5,0.4,0.3,0.2,0.4,40.6,68.6,0.7,1.5,26.9,1.9,4.7,0.7,1.0,0.0,0.0,1.2,8.3
T343,Jock Landale,HOU,C,56,13.6,4.9,3.1,1.2,0.4,0.6,0.2,51.5,80.0,0.6,0.7,25.0,1.9,3.7,0.9,1.2,0.0,0.0,1.3,12.6
T343,Doug McDermott,SAC,F,74,13.1,4.9,0.8,1.0,0.2,0.1,1.3,43.4,57.9,0.4,3.2,40.9,1.7,4.0,0.1,0.3,0.0,0.0,0.9,7.9
T343,Luke Kornet,BOS,C,76,14.7,4.9,4.0,1.0,0.3,0.9,0.0,69.6,89.6,0.4,0.0,100.0,2.1,2.9,0.8,0.9,0.0,0.0,1.2,14.3
T351,Eugene Omoruyi,FA,F,43,9.1,4.8,2.0,0.8,0.6,0.1,0.3,48.5,65.3,0.5,1.1,28.3,1.9,3.9,0.7,1.1,0.0,0.0,1.4,10.2
T351,DeJon Jarreau,FA,G,9,16.7,4.8,4.9,2.9,0.7,0.2,0.4,34.0,45.5,1.0,1.4,30.8,1.9,5.6,0.6,1.2,0.0,0.0,1.6,16.6
T351,Kobe Bufkin,ATL,G,17,11.6,4.8,1.9,1.6,0.4,0.3,0.5,37.0,50.0,0.6,2.4,22.5,2.0,5.4,0.2,0.5,0.0,0.0,1.2,11.0
T351,Delon Wright,MIL,G,53,16.9,4.8,2.0,2.4,1.2,0.3,0.6,41.1,83.0,0.3,1.6,41.0,1.7,4.1,0.7,0.9,0.0,0.0,0.7,14.8
T351,Xavier Tillman,BOS,F,62,16.9,4.8,3.6,1.3,0.9,0.8,0.3,43.9,45.1,0.6,1.3,25.6,2.0,4.6,0.4,0.8,0.0,0.0,1.3,15.4
T356,Kenneth Lofton,FA,C,21,9.4,4.6,1.8,1.6,0.3,0.2,0.3,46.2,65.4,0.7,1.1,29.2,1.7,3.7,0.8,1.2,0.0,0.0,1.1,10.0
T356,Ben Sheppard,IND,G,74,15.5,4.6,1.9,0.9,0.6,0.0,0.9,40.3,85.7,0.4,2.8,33.0,1.6,4.1,0.4,0.5,0.0,0.0,1.6,9.7
T356,Omer Yurtseven,FA,C,48,11.4,4.6,4.3,0.6,0.2,0.4,0.1,53.8,67.9,0.8,0.5,20.8,2.1,3.8,0.4,0.6,0.0,0.0,1.1,11.6
T356,Jontay Porter,FA,C,25,14.4,4.6,3.3,2.4,0.8,0.8,0.8,38.5,83.3,0.8,2.4,33.3,1.6,4.2,0.6,0.7,0.0,0.0,1.4,16.1
T360,Kevon Looney,GSW,C,75,16.0,4.5,5.7,1.8,0.4,0.4,0.0,59.6,67.5,0.7,0.0,0.0,1.9,3.1,0.7,1.1,0.0,0.0,2.1,15.6
T360,Anthony Black,ORL,G,71,16.5,4.5,2.0,1.3,0.5,0.3,0.5,46.5,61.3,0.8,1.4,38.5,1.7,3.6,0.7,1.1,0.0,0.0,1.6,10.5
T360,Taze Moore,POR,G,4,10.0,4.5,2.0,1.3,0.5,0.0,0.3,42.1,50.0,0.8,1.8,14.3,2.0,4.8,0.3,0.5,0.0,0.0,1.0,9.5
T360,Josh Okogie,PHO,F,64,15.5,4.5,2.5,1.0,0.8,0.4,0.5,42.3,73.1,0.6,1.5,30.9,1.4,3.4,1.2,1.7,0.0,0.0,1.2,11.9
T364,Bismack Biyombo,FA,C,40,19.8,4.4,5.2,1.3,0.3,0.9,0.0,56.5,48.1,1.1,0.0,0.0,1.9,3.3,0.7,1.4,0.1,0.0,2.2,15.2
T364,Monte Morris,PHO,G,42,12.9,4.4,1.5,1.9,0.5,0.2,0.7,38.8,71.4,0.2,2.0,33.3,1.7,4.4,0.4,0.5,0.0,0.0,0.5,11.0
T364,Robert Covington,FA,F,29,16.8,4.4,3.3,0.8,1.3,0.6,0.7,43.9,84.6,0.4,1.9,33.9,1.5,3.4,0.8,0.9,0.0,0.0,1.9,15.2
T364,Dominick Barlow,ATL,C,33,12.7,4.4,3.4,1.1,0.4,0.4,0.1,49.6,69.0,0.3,0.3,33.3,1.7,3.4,0.9,1.3,0.0,0.0,1.4,12.2
T364,Blake Wesley,SAS,G,61,14.4,4.4,1.5,2.7,0.5,0.1,0.2,47.4,66.7,0.9,0.9,21.8,1.7,3.5,0.9,1.3,0.0,0.0,1.5,11.3
T364,Patrick Baldwin,WAS,F,38,12.9,4.4,3.2,0.8,0.5,0.4,0.8,38.1,67.9,0.5,2.6,32.0,1.6,4.1,0.5,0.7,0.1,0.0,1.5,11.6
T364,Lester Quinones,PHI,G,38,10.4,4.4,1.9,0.9,0.2,0.1,0.8,39.9,71.0,0.4,2.3,36.0,1.5,3.8,0.6,0.8,0.0,0.0,1.2,8.3
T364,Julian Strawther,DEN,F,53,10.6,4.4,1.2,0.9,0.3,0.1,0.8,36.8,68.6,0.5,2.7,29.6,1.6,4.3,0.5,0.7,0.0,0.0,1.1,8.1
T364,Mo Bamba,LAC,C,57,12.9,4.4,4.2,0.7,0.4,1.1,0.4,49.0,68.0,0.7,1.1,39.1,1.7,3.5,0.6,0.9,0.0,0.0,1.8,14.2
T373,Maxi Kleber,DAL,C,56,19.4,4.3,3.0,1.4,0.4,0.6,0.8,42.7,69.8,0.6,2.1,36.7,1.4,3.3,0.7,0.9,0.0,0.0,1.8,12.3
T373,AJ Green,MIL,G,62,11.0,4.3,1.2,0.5,0.1,0.1,1.1,42.0,90.9,0.2,2.9,39.4,1.4,3.4,0.3,0.4,0.0,0.0,0.9,6.9
T373,Jeff Dowtin,PHI,G,12,11.8,4.3,1.7,2.3,0.6,0.1,0.8,55.6,75.0,0.4,1.6,47.4,1.7,3.0,0.3,0.3,0.0,0.0,0.1,11.3
T373,Kenrich Williams,OKC,F,76,13.9,4.3,2.9,1.3,0.5,0.1,0.7,46.2,50.0,0.4,1.9,38.4,1.8,3.8,0.1,0.2,0.0,0.0,1.4,11.1
T373,John Konchar,MEM,G,55,21.4,4.3,4.7,2.0,0.9,0.9,0.7,42.3,84.0,0.8,2.2,31.7,1.6,3.8,0.4,0.5,0.0,0.0,1.4,17.6
T373,Dru Smith,MIA,G,9,14.4,4.3,1.6,1.6,1.0,0.3,0.8,45.5,100.0,0.6,1.9,41.2,1.7,3.7,0.2,0.2,0.0,0.0,1.3,12.0
T373,Shake Milton,BKN,G,52,11.6,4.3,1.5,1.2,0.4,0.1,0.3,39.3,81.8,0.6,1.3,27.3,1.5,3.9,0.9,1.1,0.0,0.0,1.0,8.7
T380,Troy Brown,FA,F,59,14.0,4.2,2.4,1.0,0.4,0.1,0.8,37.2,86.5,0.5,2.4,33.3,1.4,3.8,0.5,0.6,0.0,0.0,0.7,9.5
T380,Jacob Gilyard,FA,G,41,17.0,4.2,1.1,3.3,0.8,0.1,1.2,40.0,100.0,0.7,3.1,40.5,1.5,3.7,0.0,0.0,0.0,0.0,1.0,12.6
T380,Ashton Hagans,FA,G,19,16.6,4.2,2.4,2.8,0.6,0.5,0.4,40.8,82.4,1.6,1.3,32.0,1.5,3.7,0.7,0.9,0.0,0.0,2.1,12.9
T380,Danuel House,FA,F,34,14.9,4.2,1.7,0.8,0.4,0.1,0.4,44.8,76.1,0.6,1.5,30.0,1.4,3.1,1.0,1.4,0.0,0.0,1.3,8.7
T380,Armoni Brooks,FA,G,10,10.3,4.2,1.8,0.5,0.1,0.1,1.1,32.6,50.0,0.3,3.2,34.4,1.5,4.6,0.1,0.2,0.0,0.0,0.3,7.4
T380,Max Christie,LAL,G,67,14.1,4.2,2.1,0.9,0.3,0.3,0.6,42.7,78.3,0.5,1.8,35.6,1.5,3.6,0.5,0.7,0.0,0.0,0.9,9.3
T386,Jaylin Williams,OKC,C,79,13.0,4.1,3.4,1.6,0.4,0.4,0.8,42.5,80.0,0.5,2.1,37.3,1.4,3.3,0.5,0.6,0.0,0.0,1.4,12.4
T386,MarJon Beauchamp,MIL,F,52,11.9,4.1,1.9,0.6,0.3,0.1,0.6,48.2,66.7,0.5,1.5,39.0,1.6,3.3,0.4,0.6,0.0,0.0,1.1,8.0
T386,Jaxson Hayes,LAL,C,75,12.1,4.1,3.0,0.5,0.5,0.4,0.0,71.3,61.9,0.6,0.1,0.0,1.7,2.4,0.7,1.1,0.0,0.0,1.7,10.3
T386,Luka Samanic,FA,F,43,9.4,4.1,2.4,0.4,0.1,0.2,0.3,38.0,78.6,0.7,1.5,20.3,1.4,3.7,1.0,1.3,0.0,0.0,0.7,7.8
T386,Joe Ingles,MIN,F,75,16.5,4.1,2.1,2.9,0.6,0.1,1.0,43.1,80.6,0.9,2.2,42.9,1.4,3.2,0.4,0.5,0.0,0.0,1.2,12.0
T386,Sandro Mamukelashvili,SAS,C,46,9.8,4.1,3.2,1.1,0.2,0.3,0.4,47.1,73.5,0.4,1.4,29.7,1.6,3.4,0.5,0.7,0.1,0.0,0.8,10.4
T386,Skylar Mays,FA,G,38,11.4,4.1,1.1,2.2,0.6,0.1,0.4,39.6,76.5,0.5,1.4,29.6,1.7,4.2,0.3,0.4,0.1,0.0,0.7,10.2
T386,Jae'Sean Tate,HOU,F,65,15.9,4.1,3.0,1.0,0.6,0.2,0.4,47.2,66.7,0.6,1.2,29.9,1.7,3.5,0.4,0.6,0.0,0.0,2.1,11.3
T386,Caleb Houstan,ORL,F,62,13.4,4.1,1.4,0.5,0.2,0.1,1.2,38.9,80.8,0.3,3.1,37.4,1.3,3.4,0.3,0.4,0.0,0.0,1.0,7.2
T395,Rayan Rupert,POR,G,39,16.3,4.0,2.4,1.6,0.3,0.1,0.7,33.5,76.0,0.8,2.0,35.9,1.4,4.1,0.5,0.6,0.0,0.0,1.4,9.5
T395,Izaiah Brockington,FA,G,1,3.0,4.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,6.4
T395,JaVale McGee,FA,C,47,7.3,4.0,2.7,0.4,0.3,0.4,0.0,60.2,57.8,0.7,0.1,14.3,1.7,2.8,0.6,1.0,0.0,0.0,1.0,9.2
T395,Matt Hurt,FA,C,8,14.0,4.0,2.0,0.5,0.4,0.4,0.6,35.3,100.0,0.3,2.5,25.0,1.5,4.3,0.4,0.4,0.0,0.0,1.0,9.2
T395,Adama Sanogo,CHI,C,9,7.3,4.0,4.0,0.0,0.1,0.0,0.0,51.9,66.7,0.6,0.0,0.0,1.6,3.0,0.9,1.3,0.1,0.0,0.6,8.6
T395,Luka Garza,MIN,C,32,4.5,4.0,1.2,0.2,0.1,0.0,0.3,52.9,75.8,0.2,1.1,31.4,1.4,2.7,0.8,1.0,0.0,0.0,0.8,5.9
T395,Patty Mills,UTA,G,36,13.1,4.0,1.0,1.1,0.6,0.0,0.8,35.1,93.3,0.5,2.7,27.6,1.4,4.1,0.4,0.4,0.0,0.0,0.9,8.2
T395,Thaddeus Young,FA,F,34,13.1,4.0,3.0,1.7,0.7,0.1,0.0,60.2,40.0,0.4,0.2,14.3,1.9,3.2,0.2,0.4,0.0,0.0,1.4,12.2
T403,Chris Duarte,CHI,F,59,12.2,3.9,1.8,0.7,0.5,0.1,0.7,38.1,78.8,0.4,2.2,34.6,1.4,3.6,0.4,0.6,0.0,0.0,1.4,8.6
T403,Jules Bernard,FA,G,19,7.8,3.9,1.4,0.8,0.2,0.1,0.6,45.3,55.6,0.4,1.5,37.9,1.5,3.4,0.3,0.5,0.0,0.0,0.7,7.0
T405,Sidy Cissoko,SAS,G,12,11.7,3.8,1.8,0.8,0.6,0.3,0.1,48.5,80.0,0.3,1.0,8.3,1.3,2.8,1.0,1.3,0.0,0.0,1.5,9.5
T405,Anthony Gill,WAS,F,50,9.4,3.8,1.9,0.7,0.3,0.2,0.2,46.9,80.6,0.5,0.8,24.4,1.5,3.2,0.6,0.7,0.0,0.0,1.0,8.0
T405,DeAndre Jordan,DEN,C,38,10.8,3.8,4.2,0.7,0.2,0.4,0.0,62.1,50.9,0.6,0.0,0.0,1.6,2.5,0.7,1.4,0.0,0.0,1.6,11.2
T405,Justin Holiday,FA,F,70,14.4,3.8,1.3,1.0,0.6,0.1,0.9,43.2,62.5,0.2,2.4,40.0,1.4,3.3,0.1,0.1,0.0,0.0,1.2,8.9
T409,KJ Martin,PHI,F,60,12.4,3.7,2.2,0.9,0.4,0.2,0.1,53.6,53.7,0.5,0.5,28.6,1.6,3.0,0.4,0.7,0.0,0.0,1.7,8.8
T409,Drew Peterson,BOS,F,3,7.7,3.7,0.3,0.3,0.7,0.0,1.0,66.7,0.0,0.3,1.7,60.0,1.3,2.0,0.0,0.0,0.0,0.0,0.3,6.2
T409,Jamal Cain,NOP,F,26,9.9,3.7,1.4,0.4,0.4,0.2,0.4,43.0,78.3,0.3,1.2,35.5,1.3,3.0,0.7,0.9,0.0,0.0,0.8,7.4
T409,Keita Bates-Diop,FA,F,53,12.6,3.7,2.1,0.7,0.5,0.4,0.4,43.4,76.2,0.3,1.3,30.4,1.4,3.1,0.6,0.8,0.0,0.0,0.7,9.7
T413,Collin Gillespie,PHO,G,24,9.5,3.6,0.9,1.1,0.5,0.0,0.6,46.4,66.7,0.6,1.6,39.5,1.3,2.9,0.3,0.5,0.0,0.0,1.0,7.4
T413,James Bouknight,FA,G,14,5.8,3.6,0.6,0.4,0.1,0.1,0.9,43.9,50.0,0.1,2.1,43.3,1.3,2.9,0.1,0.1,0.0,0.0,0.2,5.3
T413,Ousmane Dieng,OKC,F,37,10.0,3.6,1.4,1.0,0.2,0.1,0.6,42.4,87.5,0.5,1.9,29.6,1.4,3.2,0.4,0.4,0.0,0.0,0.6,7.3
T416,Svi Mykhailiuk,UTA,G,49,9.1,3.5,1.1,0.7,0.2,0.0,0.9,40.3,66.7,0.3,2.4,37.6,1.2,3.0,0.1,0.2,0.0,0.0,0.4,6.5
T416,Theo Maledon,FA,G,17,12.6,3.5,1.4,1.6,0.4,0.0,0.3,28.6,93.3,1.1,1.8,16.7,1.2,4.1,0.8,0.9,0.0,0.0,1.2,7.8
T416,Onuralp Bitim,FA,G,23,11.7,3.5,1.4,0.6,0.1,0.1,0.5,38.1,80.0,0.4,1.9,27.3,1.4,3.7,0.2,0.2,0.0,0.0,1.0,6.2
T419,Ryan Rollins,MIL,G,13,5.9,3.4,1.0,1.1,0.8,0.2,0.2,51.9,76.5,0.6,0.3,75.0,1.1,2.1,1.0,1.3,0.0,0.0,0.6,8.6
